,Target,Text
183,Electronics,"Panasonic HC-V785GW-K Consumer Camcorder (Black) 2.54/5.84-cm BSI MOS Sensor, 12.76 megapixels, F1.8 (WIDE) / F3.6 (TELE), 20x Optical Zoom, MIC Input"
184,Books,"Tea Trunk Camomile Tea Pure whole flowers of Camomile sourced from the foothills of the Himalayas. Caffeine-free, this tea is perfect for soothing sips through the day or at bedtime. Known to calm your colds and cramps, this healing tea will keep you cosy on a rainy day in bed. Perfect before bedtime as it's caffeine-free. Fluff your pillows, it's been a long day. Taste notes are floral, warm and soothing. Paired perfectly with a good book. We sipped ours with a Ruskin Bond."
185,Electronics,"nayrah Women's Rayon Trail Cut Kurti Give some good views to the world by sporting ethnic kurtis. Kurtis can change your looks and cast an image which will last for a long time. Stay dazzled with classy prints and a little flare here and there with stylish kurtis. You can change the personality you carry with ethnic wears and they will never let you down. This kurti is made from rayon fabric. This kurti featuring printed pattern with 3/4th sleeves having round neckline and calf length. It has trail cut style with double layered pattern having tie band on sides, which is making it outstandingly gorgeous. Sales Package: 1 Women's Kurti, Product Length: 127cm."
186,Electronics,"India Meets India Aum Cum Steel Tongue Happy Drum Pan with Rubber Musical Mallet and Travel Bag for Meditation Yoga Zen Sound Healing, 9-inch This happy drum also called - the instrument of happiness is a steel tongue drum. The tongues are scientifically cut into 8 different sizes and shapes and make an octave of melodious musical pitches and sounds, no matter which order you play in. The instrument is based on pentatonic scale which originated in ancient civilizations and is still used in us country music, indian traditional classical music, chinese music and blues. A special zen like musical instrument, the happy drum when played creates soothing meditative tones that relaxes both body and mind. This instrument is very useful and effective for yoga sessions, meditation classes, natural therapies and healing sessions. It is a very creative instrument and moreover extremely simple to play. You can play it with two run rubber mallets provided along with the instrument or with your fingers. Off course, if you are a professional, you can start simply start playing with your fingers just like you play a bango or tabla. However, if you are beginner it is recommended that you first play with the mallets. It comes with a sturdy, handy bag that allows you to take it anywhere you go. Rubber feet are provided at the bottom for the drum to sit straight and create best sound."
187,Electronics,"(Certified REFURBISHED) HP Elitebook 840 G1-I5-4GB-128 GB SSD 14-inch Laptop (4th Gen Core i5/4GB/Windows 10/Integrated Graphics), Black Certified Refurbished products on Amazon Renewed have been tested and certified to work and look like new by a qualified manufacturer or a specialized third-party refurbisher. The products are refurbished in India and the refurbishment process typically includes a full diagnostic test, replacement of any defective parts, a thorough cleaning and inspection process, and repackaging. The product comes with relevant accessories and is backed by a minimum six month seller or brand warranty"
188,Household,"Home Sizzler 2 Piece Eyelet Polyester Door Curtain - 7ft, Blue Color Name:Blue                                                                                 |                            Size:Door - 7 feet   Add a touch of sophistication to your living room interiors by getting these curtains by Home Sizzler. Made from polyester, these curtains are extremely fine in quality and can be maintained easily."
189,Clothing & Accessories,"I Bears Full Sleeves Footed Rompers Sets Pack of 3, 3-6 Months | Baby Clothes | Baby Boys/Baby Girls | 100% Cotton | Infant Clothes | Overalls | Jumpsuits Size:3-6 months   I Bears is a brand specializing in baby clothes - Rompers, Onesies, Overalls & Bodysuits. These Rompers have been attractively designed with multiprint and stripe pattern which makes it attractive. The snap button opening at crotch ensures easy diaper changing. Your little one will feel extremely comfortable all day long in these onesies. Suitable for little baby boy and girl all the time. I Bears together with you to memorize every IMPORTANT and SPECIAL moment of your little one. ""Quality first, customer supreme"" is our aim. Size Chart Age?(0-1 Month) Length: 18.1 inch  Shoulder: 7.5 inch  Sleeve: 8.7 inch  Chest: 9.4 inch   Age?(1-3 Months) Length: 20.3 inch  Shoulder: 8.1 inch  Sleeve: 9.4 inch  Chest: 9.8 inch  Age?(3-6 Months) Length: 22.8 inch  Shoulder: 9.1 inch  Sleeve: 9.4 inch  Chest: 10.2 inch  Suggestion tags: Rompers for baby boy, Rompers for baby girl, First baby dress, Rompers Set for babies"
190,Household,"Amazon Brand - Solimo Sports Water Bottles, 600 ml, Set of 2 (Green, Blue) Color Name:Green and Blue   Solimo brings to you this set of 2 Sports Water Bottles for your daily needs. You can use them to store water, juices, and other health drinks. These bottles are made from BPA-free and food-grade polycarbonate and have a capacity of 600 ml. They feature a push button and a secure locking mechanism, promising spill-proof use. They also have a hand grip and a holding strap for carrying convenience on the go. They are freezer-safe and dishwasher-safe as well. These odour-resistant bottles can be used to store hot as well as cold water. You can carry them to school, college, work, or the gym. They are the ideal for outdoor activities like trekking, cycling, jogging, hiking and picnics. They are easy to wash and clean, so you can reuse them any time. They look stylish and vibrant as well, thanks to their pretty colors. They are also transparent, helping you to see the contents. Stay hydrated all day long with these convenient sports water bottles."
191,Books,"A Practical Guide to Cupping Therapy: A Natural Approach to Heal Through Traditional Chinese Medicine About the Author Wu Zhongchao is a professor and advisor of doctoral students at the China Academy of Chinese Medical Sciences (CACMS), also serving as a medical consultant on the specialist register of CPC Central Committee, chief physician of Acupuncture and Moxibustion Center of CACMS, vice chair of the Committee of Acupuncture and Moxibustion Techniques and the Committee of Meridian Points and Musculature of the China Association of Acupuncture and Moxibustion, executive council member of Beijing Acupuncture Association, and member of the Committee of Health Preservation and Enhancement of the China Academy of Medical Sciences. A veteran practitioner of traditional Chinese medicine and acupuncture and moxibustion, Wu has nearly two decades of clinical experience and has published more than 60 papers and over 10 books on the medical specialty. He has travelled extensively overseas for medical assignments and lectures and has been engaged in clinical teaching to local and overseas students for many years."
192,Electronics,"Generic Easiercap USB 2.0 Video & Audio Capture Card Adapter Composite RCA Input for TV DVD VHS Easycap USB 2.0 Audio Video VHS to DVD Converter Capture Card Adapter Features: - Popular USB2.0 interface - High Plug & Play Capture high-quality Video & Audio (both dynamic and static images) - Easily and simple to install, without the external power - Complies With Universal Serial Bus Specification Rev. 2.0. - Applying to internet conference/net meeting - Support For All Formats: NTSC, PAL, Video / record in DVD+/-R/RW, DVD+/-VR, and DVD-Video - Supports high quality video resolution: NTSC: 720 x 480 /30fps PAL: 720 x 576 / 25fps - Video editing software Video Studio 8.0 on the DVD(for free) makes editing your movies fun & easy - Video Studio Movie Wizard helps novice users finish stylish movies in only three steps - Share finished projects on DVD, tape, the Web, and mobile devices - High-speed rendering and real-time performance offer you less time waiting and more time creating many special effect and clip video files System Requirements: - USB: Compliant USB 2.0 free port - OS: Windows 2000, XP, Vista, WINDOWS 7 32 Bit, but not Win 7 64 bit - CPU: Pentium III 800 above - HD: 600 MB of available hard drive space for program installation, 4GB+hard drive - space for video capture and editing - Memory: 256MB of RAM - Display: Windows-compatible display with at least 1024x768 - Sound card"
193,Household,"Amazon Brand - Solimo 24 Piece Stainless Steel Cutlery Set, Stripes (Contains: 6 Table Spoons, 6 Tea Spoons, 6 Forks, 6 Dessert Spoons), Silver Style:With 6 Dessert Spoons   Solimo offers you a range of cutlery sets made from 100% food grade stainless steel. From dainty dessert spoons and fruit forks, to soup spoons and knives, each set comprises 6 or 24 pieces in a variety of combinations, so you can choose a set that refines the look of your table."
194,Household,"Harman Portable Water Heater, Geysers With Free Nozzle And Accessories Harman instant water geyser is compact, very light weight, attractively designed and can easily shifted to any place where hot water required, it is handy to use and just need to hanged to be ready for operation, the best thing is, it does not required additional plumbing, just hang, connect to power and water tap, here is your hot water available, it is a perfect replacement for large size storage water geysers, it provides running hot water directly from the tap without storage. Specifications : # Body – polypropylene Plastic # Thermostat - Copper, ISI marked # Cable - White, 1.5 Meter, ISI marked # Pin-top - 16Amp, ISI marked # PVC pipe and nipple, ISI marked # Running hot water within 6 seconds of operation. # Only 1 Unit power consumption for 80 Litre of hot water # Auto power cut-off in case temperature reaches 65 degrees # Can be used in bathroom, kitchen, wash area, hotels, hospital etc."
195,Clothing & Accessories,"LUXCY Unisex Animal Print Thermal Bottom (Pack of 12)(MRB2GIPRJPKIDDO(Pack of 12)(2-3) 12_Multicolor_65) Luxcy presenting this multicoloured, pack of 12 panties for girls. It is made up of cotton material which keeps your kids comfortable and ease throughout the day."
196,Books,48 Hours to Learn German: Learn German Fast! 48 Hours to Learning German (But Not Mastering It) (Learn German - French - Spanish - Italian - German Language) 
197,Household,"Elica 90 cm 1200 m3/hr Auto Clean Chimney (OSB HAC TOUCH BF 90 NERO, 2 Baffle Filters, Touch Control, Black) One Year Warranty, Motor 5 year Warranty. Parts covered under warranty: Rotor, Metal Grease Filters (All Electronic parts are covered under warranty for the period of One Year from Date of Purchase.) (Glass is not covered under Warranty). The suction capacity of the particular model of the kitchenhood represents the maximum air flow capacity of the motor group assembly running at an optimum level with a possible +/- 5%variation."
198,Household,"Hy-tec 2000W Pure Copper Immersion Water Heater Rod with Full Water Proof & Shock Proof (Red/Purple) Immersion water heaters are extremely useful and a convenient way for heating water. The Hy-tec immersion heating rod is a must-have product for your home. Thanks to its compact in size, this immersion heater can be easily accommodated in storing places or cabinets. This Hy-tec immersion heater heats water quickly consuming 2000W, thus proving to be energy-efficient. This 2000 watts immersion heater facilitates optimum heat transfer for an enhanced performance. To get hot water, you have to simply dip it in a tub, bucket or container of water and switch on the rod. Since it is made from anti-corrosive plastic material and stainless steel, this electric water heater is durable and will function efficiently for long. This electric immersion heater complies with all standards of safety, thus proving to be safe for use at home and even outdoors."
199,Electronics,TP-Link TP-UE200_W USB 2.0 to 100 Mbps Ethernet Network Adapter Style name:UE200   TP-Link UE200 USB 2.0 to 100 Mbps Ethernet network adapter with foldable and portable design for Ultrabook.
200,Household,"Casa Decor Flower Filigree Ceramic Cupboard Cabinet Door Knobs (Cream, Standard) Pack of 6 Our unique knobs collection can be used for updating the furniture or refurbishing a kitchen cabinet. This knobs are mostly hand painted. We offer pantone color variations, prints & transfers and bespoke paint patterns. We have showcased a small selection of the knobs that have been done in the past. These ceramic are knobs are glazed & baked to specific temperatures to experience truer colors. They are produced in various shapes & sizing with vibrant color patterns.So, buy knobs online today and give a perfect look to your furniture."
201,Household,"Urban Flavorz Meat Tenderizer, 65g Use to tender your favourite meat."
202,Household,"MP WOOD Furniture Solid Sheesham Wood Serving Wine Trolley Bar (Rich Brown) MP WOOD FURNITURE India brings you Bar Cabinet. The full range comprises of Solid Wood Bar Furniture Cabinet. Bar Unit Furniture are made of solid wood such as Mango Wood. It is available in various finishes such as Teak, Mahogany or Walnut etc. As Manufacturer of the product, We can offer you Customized finishing and bar design as per customer requirement. Quality Assurance: - Solid Wood Bar Unit Trolley & Cabinet is crafted by traditional Craftsmen who are experts in making ethnic Bar Furniture. As these are handmade, there may be a bit of variation in Color as appearing in the image but product functioning will remain the same. if you have any query, please call on 8802621101 or mail us on mpwoodfurniture@gmail.com. Bulk order or Customization is also possible."
203,Books,Python: The Complete Reference 
204,Books,"Thomas' Calculus, 13e About the Author George B. Thomas, Jr. (late) of the Massachusetts Institute of Technology, was a professor of mathematics for thirty-eight years; he served as the executive officer of the department for ten years and as graduate registration officer for five years. Thomas held a spot on the board of governors of the Mathematical Association of America and on the executive committee of the mathematics division of the American Society for Engineering Education. Maurice D. Weir holds a DA and MS from Carnegie-Mellon University and received his BS at Whitman College. He is a Professor Emeritus of the Department of Applied Mathematics at the Naval Postgraduate School in Monterey, California.Joel Hass received his PhD from the University of California—Berkeley. He is currently a professor of mathematics at the University of California—Davis."
205,Household,"Okayji Self Adhesive Felt Material Pads for Furniture Floor Scratch Protection,18 Pieces (Round Shape) This product is from the house of spider juice. This anti-skid felt material foam protection pads are great for protecting floor and household surface from scratch caused by furniture, and also use to fill uneven legs of furniture and appliances. It is designed with anti-skid felt material foam material and to be self-adhesive, just peel the protector pad from the backing sheet and position the pad on to the surface where it to be. 1. Easy to install. Make sure to clean and dry the chair feet, then stick the self-adhesive felt pad. we recommend to install it at night then wait 12 hours before start to use the chair.2. These EVA felt pad also apply to recover the uneven or damaged of the foot.3. Protect the floor from scratches.4. Prevent noise when dragging furniture create a quiet environment.5. Anti-skid. Self-adhesive on the back side strongly stick to furniture feet prevent slippage between the floor and furniture."
206,Clothing & Accessories,"Applecreation Women'S Cotton Jacquard Unstitched Dress Material (Yellow_Free Size) Spruce up your ethnic collection this season with this stylish unstitched dress material from Applecreation. Once stitched, team your set with heels or flats for an elegant look."
207,Electronics,SanDisk 32GB Class 10 Micro SDHC Memory Card with Adapter (SDSQUAR-032G-GN6MA) Size name:32 GB   Water proof
208,Household,Toys Bhoomi 2-in-1 Beach Sand & Water Play Table for Kids with 8 Accessories (Multicolour)
209,Household,"Phenovo Handheld 2200V 300W Mini Heat machine DIY Electric Hot Air machine Embossing Drying Paint EU Plug - black, 224x40mm Size name:224x40mm                                                                                 |                            Color name:Black   Description: - Can be used to heating relief powder and shrinkable sheet - Keeping 3-5cm distance from work and about a 45 degree angle to heat until it is completed. - After completion, use the heat machine at high temperature to blow a few minutes,it not only can add its hardness, but also its brightness - The temprature can not adjustable, in theory, it can reach at 250 degree to 300 degree within a few seconds - Hot air/gas welding is a common fabrication technique for manufacturing smaller items. It can be used for melting materials, softening paint and plastic, removing the sticker, bending the plastic tube, changing the floor tile, repairing the mobile phone and so on.Specification: - Size: Approx.machine / 8.81x1.57inch - Max.Working temp.: 250 ℃ to 300 250 ℃ - Rated Power: 300W - Rated voltage: 220V 50HZ - Plug Type: EU PlugPackage Includes:1 Piece Heat machine Note:Due to the difference between different monitors, the picture may not reflect the actual color of the item. Thank you!"
210,Books,"Anatomy and Physiology of Eye, 3e (HB) Modern System of Ophthalmology (MSO) Anatomy and Physiology of Eye is a series of multiple volumes, planned with a very specific aim to cater to the needs of residents in ophthalmology.Volume editors of this series make a team of like-minded and devoted teachers from different subspecialities. , a volume of MSO series, in its third edition, presents an updated and thoroughly revised,uniquely integrated text on anatomy and physiology of eye. It includes complete and upto-date material in a simple language and lucid style. It has been primarily written for postgraduates in ophthalmology. However, it is hoped, this book will prove useful for postgraduates from the disciplines of anatomy and physiology,and students of optometry as well.Subject matter has been arranged over fourteen chapters in such a unique manner that it provides an opportunity for a continuous reading of interrelated text on anatomy and physiology of eye.To provide better understanding in third edition, some chapters have been rearranged in different subchapters.Text has been profusely illustrated with high quality computer drawn colour diagrams which provide vivid graphic details.Exposition of the text is such that an average postgraduate student will find it easy to glean through and assimilate the facts for longer retention."
211,Electronics,"boAt Rockerz 510 Wireless Bluetooth Headphones (Viper Green) Colour:Viper Green   Now just stop worrying about wires hanging from here and there. Pair with any Bluetooth device, connect and play. Dead batteries can kill your vibe. boAt Rockerz 510 is designed to play up to 8 hours. Don't just be loud, be loud and clear. We assure you have not heard such powerful bass and vocal clarity from a wireless headphone with extra comfort ear cups. The boAt super bass Rockerz 510 wireless headphones will make your listening experience personal and for real. So, just plug it in and plug into nirvana."
212,Books,"An Outline History of English Literature About the Author Hudson spent his youth studying the local flora and fauna and observing both natural and human dramas on what was then a lawless frontier, publishing his ornithological work in Proceedings of the Royal Zoological Society, initially in an English mingled with Spanish idioms. In Argentina, Hudson is considered to belong to the national literature as Guillermo Enrique Hudson, the Spanish version of his name. A town in Berazategui Partido and several other public places and institutions are named after him."
213,Household,"ORPIO (LABEL) New Heavy Stainless Steel Manual Press Lemon Squeezer Orange Citrus Hand Press Juicer (Silver) This citrus squeezer is designed to extract the juices of lemons and limes while catching pulp and seeds so that nothing but delicious citrus juice makes it to your plate or cup. With a single, effortless squeeze stainless steel premium juice squeezer will extract every last drop of lemon, lime juice, Color: silver"
214,Books,"Money Master the Game About the Author Tony Robbins is a bestselling author, entrepreneur and philanthro-pist. For more than thirty-seven years, millions of people have enjoyed the warmth, humor and dynamic presentation of Mr. Robbins’s corporate and personal development events. He is the nation’s #1 life and business strategist. He’s called upon to consult and coach with some of the world’s finest athletes, entertainers, Fortune 500 CEOs and even presidents of nations. As an entrepreneur, he has more than twenty companies, a dozen of which he actively manages. At present, the companies he founded or partnered in have combined annual sales of more than $6 billion a year. Also of note is Robbins’s marquee philanthropy, which spans more than three and a half decades of serving those forgotten by society—children, the imprisoned and the homeless. He is responsible for feed-ing more than 42 million people. This year, through his partnership with Feeding America, Robbins has committed to personally provide 50 million meals to those in need and he is at work to get matching funds to feed 100 million more."
215,Household,3M New Command Picture Hanging Strips (Pack of 24) Package includes picture hanging strips 24/pkg-8 medium strips & 16 large strips.
216,Household,"Skyfish Car Vaccum Cleaner 12 V and 150W Wet/Dry Car Handheld Vacuum Cleaner (Multi color) Dust-Absorption Usage:  1. Insert cigarette lighter plug into the DC 12V cigarette lighter located in the car and switch the car on. 2. Push the switch button forward to absorb trash. 3. Use correspondent suction nozzle accessories according to different occasions. 4. Any locations of the car can be reached with the 16.4ft /5m power cord. 5. It is better to keep the suction nozzle face and absorbed face at a parallel level.  Notice:  1. To extend service life of cleaner, after continuously running for 30 minutes, you should let it take a break. 2.If it is for wet use, please notice the height of water-proof tube in the front cover and remember the height of a suction volume should not exceed that of HEPA when cleaner breathes water or damp matters.  PRODUCT APPLICATION:   The vacuum cleaner is applicable for all BIG & SMALL size CARS (SUV, Sedan, Hatchback, Jeep etc.). Just connect the device by inserting the plug into cigarette lighter socket of car. Use ON/OFF button to start the device and start cleaning. Connect the Extension Mouth to reach the places where hand cannot reach. Use Brush connector to rub the foot mat and other places to remove dust so that vacuum cleaner can easily suck the dirt. After cleaning take out the dust cap by pressing button over dust cap and clean the HEPA filter to have maximum and continuous cleaning efficiency."
217,Electronics,"Sony DVPSR660P DVD Player (Black) Product Description Sleek Built: Enhance your home entertainment experience with the Sony DVD player. With an array of features like compact design, multi-format support and inbuilt advanced technologies, this player is a great addition to your entertainment area. The compact design and black colour finish give it an attractive look. This DVD player measures around 32 x 20.9 x 3.9 cm and weighs nearly 1.1 kg, which makes it lightweight and portable. Multi-Format Support: The DVD player effectively plays DVD, MP3 and CD-R/RW and is compatible with multiple formats like MP3 CD, MPEG, JPEG, MPEG 4 and WMA. It helps you enjoy your favourite movies in the convenience of your home. To enhance the audio quality, the device comes with Dolby Digital Sound systems. 				    	 					 From the Manufacturer Perfect Addition to Your Home Entertainment Area Bring home the Sony DVPSR660P DVD player for an enjoyable entertainment experience. Featuring essential playback features, this Sony DVD player makes a great addition to your home entertainment area. This medium-sized 320 mm DVD player is smartly designed and is easy to use as well. Equipped to meet all your entertainment needs, this DVD player is sure to keep you hooked to it at all times. The Child Lock system of the player ensures that you have complete control over the features that your children can access on this player.USB Content Playback and Progressive Scan Function The Sony DVD player with USB lets you easily access your favourite video and audio content from a USB device. Thanks to the progressive scan of this DVD player, you can view images with superior clarity. Its multi-disc resume function allows you to resume watching movies starting from the exact scene that you left it at. This Sony DVD player with USB port also allows fast and slow playback with sound and enables multi-disc and format playback. Add this intelligent DVD player to your home entertainment space to have fun watching your favourite collection of movies and videos. Type: DVD Player Supported DVD Types: DVD-R/-RW-R DL, DVD-R/-RW-R DL (VR), DVD-Video, DVD+R/+RW/+R DL Supported CD Types: CD Video, CD-R/-RW, CD, SVCD, CD-R/RW Video Playback Compatibility: MPEG1, MPEG4 Sound System: Dolby Digital, DTS Audio Playback Compatibility: MP3, WMA, LPCM, AAC Supported Image Formats: JPEG Connectivity: One USB, One Audio Out and One Video Out port"
218,Clothing & Accessories,Softline Butterfly Women's Cotton Camisole
219,Clothing & Accessories,"QRAFTINK No Show Socks for Women, Men, Boys & Girls | Premium Mercerised Cotton Unisex Loafer Socks for Daily Use & Sports | Fits Upto UK Size 10, US Size 12 & Euro Size 45 | Combo of 5 Liner Socks Qraftink no show socks are unisex loafer/liner socks in three different colour code pairs. These are made available for you in very vibrant colours after a lot of research. The socks are made of premium mercerised cotton, which is soft and keeps your feet dry and cool at the same time. The socks are designed in a fashion that will give you a great experience. Silicon system is installed in every pair of socks to give you a great hold while you are walking or doing a sporting activity. It is designed keeping in mind the Indian feet. It can stretch upto UK size 10, US size 12 and Euro size 45. There is a well-knitted arch band to keep the socks in place and Y-head to improve the fit. We have put in a great amount of R & D to develop these socks. Our mission is to create a global Yoga and sports brand, originating from India, which delivers nothing but the top quality product. At Curveit, our mission is to always, no matter what, deliver a product of the top most quality. Namaste!"
220,Books,"An Outline History of English Literature About the Author Hudson spent his youth studying the local flora and fauna and observing both natural and human dramas on what was then a lawless frontier, publishing his ornithological work in Proceedings of the Royal Zoological Society, initially in an English mingled with Spanish idioms. In Argentina, Hudson is considered to belong to the national literature as Guillermo Enrique Hudson, the Spanish version of his name. A town in Berazategui Partido and several other public places and institutions are named after him."
221,Clothing & Accessories,"Van Heusen Men's Fashion Knit Shorts Redefine comfort with these exquisitely styled fashion shorts from Van Heusen. Crafted in cotton rich fabric, these athleisure shorts with drawstring fastening can be teamed with a comfy T-shirt to head to the gym or grab a coffee."
222,Clothing & Accessories,BREGEO Fashion Party/Slim Fit Blazer 5-Colours This 2 button slim lapel super slim fit jacket is made with the perfect blend of terry and rayon. That makes it comfortable and stylish at the same time. All 5 colours are perfect to carry your evenings in epic style. Size 34: for 34 Size waist size must be 28 to 30 Inches and Stomach Size up to 30 Inches at Navel (max.) and Height up to 5 ft 5 inches (max.) Size 36: for 36 Size waist size must be 30 to 32 inches and stomach size up to 32 inches at navel (max.) and height up to 5 ft 7 inches (max.) Size 38: for 38 Size waist size must be 32 to 33 Inches and Stomach Size up to 35 Inches at Navel (max.) and Height up to 5 ft 8 inches (max.) Size 40: for 40 Size waist size must be 34 to 35 inches and stomach size up to 37 inches at navel (max.) and Height up to 5 ft 10 inches (max.) [5] Size 42: for 42 Size Waist size must be 36 to 38 inches and stomach size up to 39 to 40 inches at navel (max.) and height up to 6 ft (max.) size 44: for 44 size waist size must be 38 to 40 inches and stomach size up to 42 inches at navel (max.) and height up to 6 ft 2 inches (max.)
223,Books,Engineering Mathematics for GATE & ESE (Prelims) 2019 - Theory & Previous Year Solved Questions 
224,Books,"Success Master IBPS-VIII Bank Clerk Mains Exam 2018 About the Author An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proof-readers and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content and updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years."
225,Books,Cambridge English: IELTS 11 General Training with Answers (With Audio CD) 
226,Clothing & Accessories,Fila Women's Leggings Linkin mesh insert tights for women. You can wear it on every occasions be it you gym classes or yoga classes or evening casual walk.
227,Household,"Qualimate Plastic 714 Portable Rechargeable LED Emergency Light (White) The Emergency light is with built-in long-life and maintenance-free rechargeable Lead Acid battery of high capacity as 2400mAh. The battery has more than 500 times' charging and discharging recycle life. LED is in advantages of energy-saving, high light, long life and high power. Both high light and dim light for choices. Instructions: Connect the power supply, if charging indicator turns on, then it’s in charging status. Charging time needs about 20 hours. b/weak light can be chosen by pushing the switch up/down. When the light becomes weak during using, that means the battery is in lack of power. At this moment, stop using it and recharge it in time so as to protect the battery. Recharge it before the light is completely invisible, otherwise it will case damage to the battery. Frequent use is required, long-time nonuse is unadvisable. If you don’t use it very often, please recharge it every 3 months, or the battery’s life-span will be shortened. Cautions: Do not point the light to eyes directly, or it will affect eyesight. Children must be supervised by adults before using it. Keep it away from rain and dampness. Keep it away from the explosives and inflammables while it is chargingemergency lights led rechargeable emergency lights led for home emergency charging light"
228,Household,"Coleman Instant Canopy Sunwall - Accessory Only Please Note: This is for the sidewall attachment ONLY. The 12' x 12' canopy is NOT included with the purchase of this item Get more shade and weather protection outdoors with the Coleman Sunwall Instant Canopy Accessory. Made with UV GuardTM coating on the canopy material for superior defense against the sun, its durable construction will also stand up to the wind. It's compatible with 12 x 12 ft. straight-leg ColemanÂ Instant Canopies (NOT included). The Coleman Sunwall Instant Canopy Accessory is ideal for sporting events, birthdays, picnics and much more. This canopy sunwall is easy to move and place where you need it most. It helps to protect you and your guests against the wind, rain and sun, and it also offers privacy. We are an Authorized Coleman Dealer!"
229,Electronics,"Seagate 500 GB Fast SSD USB C Portable External Hard Drive (Black) Capacity:500GB   The Seagate Fast SSD is perfect for personal, on-the-go storage. This lightweight and stylish external SSD can protect up to 1TB of your favorite photos, videos and must-have files. Plus, the fully reversible USB-C cable means hassle-free connectivity with an ever-increasing number of USB-C compatible devices. Fast SSD also has some of the fastest read/write speeds around—up to 540/500MB/s. Be sure to take advantage of the folder syncing feature which monitors a target folder for any file additions, deletions or modifications."
230,Household,"Ramkuwar Stainless Steel Garlic Press and Peeler Set These kitchen utensils are built with the highest quality materials:  Solid Stainless Steel both for garlic press and garlic rocker.   ★ If you are looking for utensils that will last a lifetime, you have found them.   ★ Simply pop in an unpeeled garlic clove into the Garlic Press, squeeze the two handles and see the beautifully crushed garlic mince all coming out for the holes effortlessly.  ★ Add delicious fresh minced or sliced garlic to all your meals in seconds.  ★ Once you find out how quickly you can produce your own fresh garlic mince, you'll be adding to everything."
231,Household,"Yellow Weaves PVC Waterproof 3D Shower Curtain with 8 Hooks,(54X84-Inch, Transparent) Item Package Quantity:1   Yellow Weaves PVC Transparent Shower Curtain. Decorate your bathroom with this stylish and unique shower curtain. Contains Plastic hooks to put it around the rod. A beautiful way to separate your bathroom space from your water closet area comes in the form of this shower curtain. The PVC fabric makes it waterproof and easy to maintain. These are pebbles design Shower Curtain which gives a perfect & stylish look to your Bathroom and also makes your mood fresh and cool while taking shower or Brushing your Teeth. Its (LXB)- 7Ft X4.5Ft or 84 X 54 Inches"
232,Household,"Prestige Plastic Hand Blender, Orange Save time, make every preparation easy and get perfect results every time with the new prestige hand blender PHB 11.0. Professional quality, now in your hands. With 250 W motor, the hand blender is perfectly balanced to give you the right amount of power and long-lasting durability. Ergonomically designed hand blender gives you the perfect grip, thanks to the slim body. Providing complete freedom and maneuverability."
233,Books,"Death is Not the Answer: Understanding Suicide and the Ways to Prevent it About the Author Dr. Anjali Chhabria is the founder of Mind temple, a counseling center which caters to psychiatric, emotional and behavioural concerns in individuals. She has been the president of the Bombay Psychiatrist Society from 2001-02. Dr Chhabria has contributed in the past to many leading dailies like the Times of India, Mid-day, DNA, Indian Express and magazines like India Today, Physician's Digest, Femina, Women's era, Savvy and Harmony. She also contributes a regular column for the magazine Sindhian and for Delhi-based 'Free Press Journal'. In addition, she is a regular speaker for the local radio station Radio Mirchi and has given inputs at other local radio stations like 92. 7 FM. She has also been a part of esteemed panels for various television shows, as well as a chief guest for contests such as Gladrags Mega Model and Man Hunt.  Dr Chhabria is one of the first few doctors to offer the latest treatments such as Repetitive Trans-cranial Magnetic Treatment (RTMS) since 2011, Extracorporeal Shock Wave Therapy (ESWT) since 2012 and Trans-cranial Direct Current Stimulation (TDCS) treatment since 2013 in affiliation with Delhi-based Dr. Sanjay Chugh."
234,Books,"Beartown: A Novel About the Author Fredrik Backman is the #1 New York Times bestselling author of A Man Called Ove (soon to be a major motion picture starring Tom Hanks), My Grandmother Asked Me to Tell You She’s Sorry, Britt-Marie Was Here, Beartown, Us Against You, as well as two novellas, And Every Morning the Way Home Gets Longer and Longer and The Deal of a Lifetime. His books are published in more than forty countries. He lives in Stockholm, Sweden, with his wife and two children. Connect with him on Twitter @BackmanLand or on Instagram @backmansk."
